Time,Engine RPM,Ground Speed
0,1222,5.2
1,1055,8.4
2,1431,12.3
3,2076,24
4,2810,38
5,3264,49
6,3786,57
7,3985,69
8,5205,80
9,5510,89
10,5740,95
11,5315,100
12,5804,105
13,6149,110
14,5999,114
15,5888,120
16,5777,125
17,5333,130
18,5999,133
19,5774,139
20,5535,138
21,5278,136
22,5262,132
23,5391,133
24,5533,131
25,5999,137
26,5888,136
27,5777,135
28,5333,133
29,5999,135
30,5774,129
31,5535,124
32,5278,121
33,5262,120
34,5391,119
35,5533,114
36,4722,110
37,4862,108
38,4012,103
39,4040,102
40,4135,100
41,4391,103
42,4650,104
43,4867,105
44,4083,100
45,4271,97
46,4559,96
47,4717,93.5
48,4880,96.7
49,4028,93
50,4717,92
51,4880,91
52,4028,89
53,4028,86
54,4717,84
55,4880,81
56,4028,83
57,4717,82
58,4880,81
59,4271,83
60,4559,79
61,3932,77
62,3943,76
63,3064,78
64,3102,75
65,3140,74
66,3273,75
67,3408,73
68,3500,71
69,3932,74
70,3943,77
71,3064,70
72,3102,65
73,3140,67
74,3273,68
75,3408,65
76,3500,64
77,3321,62
78,3189,61
79,3232,60
80,3260,59
81,3287,57
82,3316,56
83,3408,55
84,3500,52
85,3321,57
86,3189,54
87,3232,53
88,3260,54
89,3287,51
90,3316,50
91,2895,49
92,2800,47
93,2927,48
94,2088,46
95,2241,48
96,2344,45
97,2399,44
98,2286,43
99,2096,41
100,2895,42
101,2800,47
102,2927,49
103,2088,41
104,2241,42
105,2344,43
106,2399,41
107,2286,42
108,2096,41
109,2286,37
110,2241,34
111,2344,33
112,2399,33
113,2241,35
114,2344,31
115,2399,32
116,2286,28
117,2241,21
118,2344,24
119,2399,25
120,2286,23
121,2088,21
122,2241,19
123,2344,16
124,2399,14
125,2286,13
126,2096,12
127,1888,8
128,1777,7
129,1589,6
130,1489,6
131,1376,6
132,1204,5
133,1110,4
134,1023,3
135,999,2
136,890,1
137,888,0
138,870,0
139,888,0
140,876,0
141,812,0
142,1222,9.3
143,1226,9.8
144,1217,10.2
145,1183,9.8
146,1202,10.7
147,1205,11.2
148,1167,10.4
149,1149,10
150,1151,9.8
151,1160,9.2
152,1116,10.1
153,1067,10.1
154,1074,9.4
155,1073,9.4
156,1044,8.6
157,1074,8.3
158,1123,7.5
159,1084,6.8
160,1074,7.5
161,1032,7.9
162,1031,8.2
163,1030,9
164,1039,9.5
165,1049,9.9
166,1078,9.9
167,1046,10.1
168,997,9.9
169,991,8.9
170,978,8.4
171,941,7.8
172,985,8.4
173,1012,8.5
174,1004,8.1
175,990,8.7
176,946,8.5
177,930,8.1
178,912,8.5
179,916,9.4
180,900,9.5
181,916,10
182,812,0
183,834,0
184,854,0
185,867,0
186,831,0
187,834,0
188,854,0
189,891,0
190,842,0
191,813,0
192,1156,13.2
193,1488,27.6
194,1875,39.4
195,2196,50.8
196,2508,61.9
197,2875,73.9
198,3219,85.1
199,3590,98.9
200,3932,113.6
201,4123,120
202,4201,119.2
203,4102,118.8
204,3964,118.7
205,3916,118.6
206,3896,119
207,3877,118
208,3902,118
209,3866,117.2
210,3899,117.8
211,3944,118.4
212,3987,119
213,3987,118.1
214,3996,117.9
215,3997,118
216,4000,117.5
217,4000,117.1
218,3999,117.9
219,4000,117.1
220,3979,117.3
221,3975,117
222,3674,104.1
223,3346,92.3
224,2894,81.7
225,2478,70
226,1990,58.7
227,1607,46.5
228,1218,31.9
229,854,18.3
230,867,4.3
231,834,0
232,1112,11
233,1480,24.3
234,1879,37.4
235,2241,51.1
236,2582,63.2
237,2942,74.1
238,3278,87.4
239,3604,98.5
240,3988,112.2
241,4000,120
242,4000,120.9
243,4000,120.3
244,4000,120.7
245,3976,120.3
246,4000,120.3
247,3980,121
248,3993,121.7
249,4000,122.4
250,4000,122.1
251,4000,121.8
252,3995,122.3
253,3991,121.7
254,4000,121.9
255,4000,121.2
256,4000,122
257,3979,121.1
258,3933,120.4
259,3961,120.8
260,3968,121.3
261,3952,121.8
262,3641,110.7
263,3275,99.3
264,2819,84.4
265,2394,74
266,1923,63.4
267,1498,50.8
268,1167,38.3
269,800,23.5
270,800,9.9
271,800,0
272,1111,10.1
273,1488,22.2
274,1853,34.2
275,2179,46.5
276,2511,61.2
277,2881,75.4
278,3224,89.8
279,3570,102.1
280,3969,113
281,4000,120
282,3998,121
283,3973,120.1
284,3977,119.6
285,3998,120.4
286,4000,121.1
287,3953,120.1
288,3999,119.5
289,3981,120.4
290,3969,120.6
291,3996,120.1
292,4000,119.4
293,4000,120.1
294,3986,119.5
295,3953,118.5
296,3943,118.3
297,3959,118.9
298,3989,119.5
299,3955,120.3
300,3995,120.5
301,4000,121.2
302,3626,106.5
303,3236,93.1
304,2879,80.2
305,2463,65.7
306,2057,50.8
307,1595,39.6
308,1159,27.9
309,800,16.5
310,800,4.8
311,800,0
312,1101,12
313,1497,22
314,1809,33.2
315,2208,44.1
316,2522,54.9
317,2866,69
318,3234,80.5
319,3550,90.5
320,3909,103.2
321,4000,114.7
322,4074,57
323,4388,61.5
324,4605,64.6
325,4773,67.1
326,4948,69.5
327,5058,71.3
328,5167,72.8
329,5245,73.9
330,5300,74.6
331,5224,74
332,4993,70.7
333,4712,66.6
334,4431,62.8
335,4399,61.9
336,4496,63.3
337,4628,65
338,4716,66.4
339,4809,67.7
340,4872,68.5
341,4699,66.1
342,4802,67.7
343,4965,69.8
344,5119,72.1
345,5259,74.1
346,5409,76.2
347,5557,78.2
348,5339,75.6
349,5464,76.9
350,5689,80
351,5900,83
352,6093,85.7
353,6014,84.7
354,6117,86.2
355,6194,87.3
356,6250,88.1
357,6296,88.6
358,4477,88.9
359,4513,89.7
360,4570,90.7
361,4627,91.8
362,4689,93.2
363,4766,94.6
364,4846,96.2
365,4818,95.8
366,4853,96.4
367,4892,97.1
368,4925,97.8
369,4959,98.6
370,4995,99.3
371,5033,100
372,5072,100.8
373,5108,101.5
374,5154,102.4
375,5190,103.2
376,5228,103.9
377,5189,103.6
378,5054,100.9
379,4943,98.7
380,4999,99.3
381,5109,101.6
382,5214,103.6
383,5295,105.3
384,5366,106.7
385,5430,107.9
386,5418,108.1
387,5250,104.6
388,5229,103.7
389,5315,105.5
390,5388,106.9
391,5454,108.2
392,5508,109.3
393,5547,110.2
394,5452,108.8
395,5189,103.7
396,4931,98.4
397,4824,95.7
398,4800,95.7
399,4833,96
400,4933,97.9
401,5071,100.6
402,5222,103.6
403,5375,106.7
404,5523,109.7
405,5657,112.3
406,5778,114.7
407,5890,116.9
408,5981,118.7
409,6034,119.7
410,5970,119.4
411,5834,116
412,5856,116.3
413,5869,116.6
414,5888,116.9
415,5910,117.4
416,5942,118
417,5959,118.5
418,5982,118.9
419,6021,119.6
420,6047,120.2
421,6051,120.3
422,6048,120.1
423,6022,119.6
424,5991,119
425,5942,118
426,5900,117.2
427,5867,116.4
428,5808,115.3
429,5723,113.6
430,5633,111.8
431,5542,110
432,5447,108.1
433,5344,106.1
434,5253,104.2
435,5153,102.2
436,5060,100.4
437,4985,98.8
438,4689,93.6
439,4440,88.2
440,4403,87.2
441,4420,87.4
442,4478,88.6
443,4594,90.9
444,4723,93.6
445,4872,96.5
446,5033,99.8
447,5208,103.2
448,5390,106.9
