Time,Engine RPM,Ground Speed
0,1222,9.3
1,1226,9.8
2,1217,10.2
3,1183,9.8
4,1202,10.7
5,1205,11.2
6,1167,10.4
7,1149,10
8,1151,9.8
9,1160,9.2
10,1116,10.1
11,1067,10.1
12,1074,9.4
13,1073,9.4
14,1044,8.6
15,1074,8.3
16,1123,7.5
17,1084,6.8
18,1074,7.5
19,1032,7.9
20,1031,8.2
21,1030,9
22,1039,9.5
23,1049,9.9
24,1078,9.9
25,1046,10.1
26,997,9.9
27,991,8.9
28,978,8.4
29,941,7.8
30,985,8.4
31,1012,8.5
32,1004,8.1
33,990,8.7
34,946,8.5
35,930,8.1
36,912,8.5
37,916,9.4
38,900,9.5
39,916,10
40,812,0
41,834,0
42,854,0
43,867,0
44,831,0
45,834,0
46,854,0
47,891,0
48,842,0
49,813,0
50,1156,13.2
51,1488,27.6
52,1875,39.4
53,2196,50.8
54,2508,61.9
55,2875,73.9
56,3219,85.1
57,3590,98.9
58,3932,113.6
59,4123,120
60,4201,119.2
61,4102,118.8
62,3964,118.7
63,3916,118.6
64,3896,119
65,3877,118
66,3902,118
67,3866,117.2
68,3899,117.8
69,3944,118.4
70,3987,119
71,3987,118.1
72,3996,117.9
73,3997,118
74,4000,117.5
75,4000,117.1
76,3999,117.9
77,4000,117.1
78,3979,117.3
79,3975,117
80,3674,104.1
81,3346,92.3
82,2894,81.7
83,2478,70
84,1990,58.7
85,1607,46.5
86,1218,31.9
87,854,18.3
88,867,4.3
89,834,0
90,1112,11
91,1480,24.3
92,1879,37.4
93,2241,51.1
94,2582,63.2
95,2942,74.1
96,3278,87.4
97,3604,98.5
98,3988,112.2
99,4000,120
100,4000,120.9
101,4000,120.3
102,4000,120.7
103,3976,120.3
104,4000,120.3
105,3980,121
106,3993,121.7
107,4000,122.4
108,4000,122.1
109,4000,121.8
110,3995,122.3
111,3991,121.7
112,4000,121.9
113,4000,121.2
114,4000,122
115,3979,121.1
116,3933,120.4
117,3961,120.8
118,3968,121.3
119,3952,121.8
120,3641,110.7
121,3275,99.3
122,2819,84.4
123,2394,74
124,1923,63.4
125,1498,50.8
126,1167,38.3
127,800,23.5
128,800,9.9
129,800,0
130,1111,10.1
131,1488,22.2
132,1853,34.2
133,2179,46.5
134,2511,61.2
135,2881,75.4
136,3224,89.8
137,3570,102.1
138,3969,113
139,4000,120
140,3998,121
141,3973,120.1
142,3977,119.6
143,3998,120.4
144,4000,121.1
145,3953,120.1
146,3999,119.5
147,3981,120.4
148,3969,120.6
149,3996,120.1
150,4000,119.4
151,4000,120.1
152,3986,119.5
153,3953,118.5
154,3943,118.3
155,3959,118.9
156,3989,119.5
157,3955,120.3
158,3995,120.5
159,4000,121.2
160,3626,106.5
161,3236,93.1
162,2879,80.2
163,2463,65.7
164,2057,50.8
165,1595,39.6
166,1159,27.9
167,800,16.5
168,800,4.8
169,800,0
170,1101,12
171,1497,22
172,1809,33.2
173,2208,44.1
174,2522,54.9
175,2866,69
176,3234,80.5
177,3550,90.5
178,3909,103.2
179,4000,114.7
180,5377,47
181,5752,50.3
182,6194,54
183,6466,56.5
184,4191,58.9
185,4373,61.6
186,4572,64.2
187,4958,69.4
188,5259,73.8
189,5483,77
190,5673,79.7
191,5852,82.2
192,5731,80.8
193,5749,80.9
194,5804,81.7
195,5904,83
196,5953,84
197,5699,80.3
198,5824,82
199,5750,81.6
200,5739,80.8
201,5889,82.9
202,6031,84.8
203,6169,86.8
204,6036,88.7
205,4558,90.3
206,4674,92.8
207,4720,93.7
208,4770,94.8
209,4583,91.5
210,4608,91.4
211,4710,93.5
212,4850,96.3
213,4991,99
214,5080,100.8
215,5164,102.5
216,5241,103.9
217,5201,103.9
218,5070,100.8
219,5009,99.6
220,4998,99.4
221,5018,99.7
222,5029,99.8
223,5027,99.8
224,4984,99
225,4887,97
226,4795,95.2
227,4712,93.5
228,4623,91.8
229,4542,90.3
230,4502,89.4
231,4525,89.7
232,4603,91.2
233,4682,92.7
234,4746,93.9
235,4811,95.3
236,4870,96.5
237,4923,97.6
238,4963,98.3
239,4976,98.8
240,4923,97.8
241,4782,94.9
242,4796,95.1
243,4825,95.6
244,4657,92.9
245,4605,91.4
246,4654,92.2
247,4743,93.9
248,4820,95.5
249,4921,97.5
250,5024,99.6
251,5142,101.8
252,5243,104
253,5344,106
254,5435,107.7
255,5476,108.7
256,5494,109.1
257,5253,104.8
258,5056,100.6
259,5046,100
260,5020,99.8
261,4981,99
262,4900,97.6
263,4831,95.9
264,4826,95.8
265,4875,96.8
266,4969,98.5
267,5092,101.1
268,5228,103.9
269,5344,106.2
270,5448,108.3
271,5510,109.5
272,5395,107.8
273,5230,104.4
274,5042,100.6
275,4932,98.2
276,4863,97
277,4673,93.2
278,4603,91.4
279,4585,90.8
280,4701,93.2
281,4767,94.7
282,4788,95
283,4834,96
284,4861,96.5
285,4876,96.9
286,4901,97.5
287,4915,97.8
288,4918,97.8
289,4908,98
290,4685,93.9
291,3277,67.9
292,3205,45.2
293,3094,43.5
294,3125,44
295,3203,45
296,3381,47.4
297,3612,50.8
298,3856,54
299,4087,57.3
300,4334,60.9
301,4603,64.4
302,4848,68
303,4628,65.6
304,4292,60.7
305,3994,56.5
306,3936,55.4
307,4204,59.1
308,4429,62.1
309,4626,65.1
310,4822,67.7
311,4940,69.4
312,5043,71.1
313,5148,72.4
314,4972,70.6
315,4682,66.5
316,4406,62.2
317,4332,61
318,4320,61.1
319,4056,57.5
320,3801,53.7
321,3823,53.6
322,4074,57
323,4388,61.5
324,4605,64.6
325,4773,67.1
326,4948,69.5
327,5058,71.3
328,5167,72.8
329,5245,73.9
330,5300,74.6
331,5224,74
332,4993,70.7
333,4712,66.6
334,4431,62.8
335,4399,61.9
336,4496,63.3
337,4628,65
338,4716,66.4
339,4809,67.7
340,4872,68.5
341,4699,66.1
342,4802,67.7
343,4965,69.8
344,5119,72.1
345,5259,74.1
346,5409,76.2
347,5557,78.2
348,5339,75.6
349,5464,76.9
350,5689,80
